NO_OF_FRAMES	577
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:02:49.703	683904.55384840
DATA_INCLUDED	3D
TITLE	Luftmostståndspåverkan av rörelsemängd 23.3g #5
MARKER_NAMES	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
803	1.60400	326.187	380.028	195.103
804	1.60600	326.138	378.549	195.129
805	1.60800	326.068	377.078	195.117
806	1.61000	326.005	375.616	195.145
807	1.61200	325.935	374.146	195.138
808	1.61400	325.886	372.675	195.133
809	1.61600	325.816	371.212	195.116
810	1.61800	325.752	369.733	195.104
811	1.62000	325.690	368.279	195.102
812	1.62200	325.627	366.800	195.094
813	1.62400	325.525	365.355	195.081
814	1.62600	325.401	363.868	195.063
815	1.62800	325.338	362.400	195.098
816	1.63000	325.269	360.920	195.073
817	1.63200	325.178	359.452	195.087
818	1.63400	325.109	357.974	195.091
819	1.63600	325.039	356.513	195.096
820	1.63800	324.977	355.052	195.103
821	1.64000	324.893	353.574	195.088
822	1.64200	324.830	352.114	195.099
823	1.64400	324.739	350.635	195.064
824	1.64600	324.649	349.198	195.037
825	1.64800	324.559	347.713	195.019
826	1.65000	324.482	346.268	195.010
827	1.65200	324.377	344.792	195.009
828	1.65400	324.299	343.332	195.008
829	1.65600	324.216	341.872	195.008
830	1.65800	324.117	340.406	195.026
831	1.66000	323.968	338.947	195.026
832	1.66200	323.842	337.455	195.012
833	1.66400	323.751	335.999	195.073
834	1.66600	323.625	334.507	195.063
835	1.66800	323.534	333.050	195.103
836	1.67000	323.443	331.567	195.110
837	1.67200	323.345	330.108	195.102
838	1.67400	323.254	328.640	195.084
839	1.67600	323.173	327.172	195.068
840	1.67800	323.097	325.729	195.062
841	1.68000	323.001	324.246	195.053
842	1.68200	322.925	322.803	195.053
843	1.68400	322.862	321.321	195.075
844	1.68600	322.766	319.845	195.058
845	1.68800	322.631	318.379	195.052
846	1.69000	322.542	316.895	195.028
847	1.69200	322.466	315.438	195.041
848	1.69400	322.390	313.963	195.033
849	1.69600	322.307	312.497	195.039
850	1.69800	322.231	311.030	195.022
851	1.70000	322.147	309.555	194.995
852	1.70200	322.087	308.105	195.004
853	1.70400	322.011	306.630	194.981
854	1.70600	321.943	305.165	194.997
855	1.70800	321.861	303.708	195.001
856	1.71000	321.771	302.234	194.985
857	1.71200	321.715	300.779	195.020
858	1.71400	321.633	299.296	194.996
859	1.71600	321.546	297.831	194.996
860	1.71800	321.437	296.358	194.987
861	1.72000	321.348	294.874	194.944
862	1.72200	321.294	293.420	194.989
863	1.72400	321.202	291.931	194.967
864	1.72600	321.119	290.459	194.968
865	1.72800	321.048	288.986	194.948
866	1.73000	320.973	287.519	194.912
867	1.73200	320.924	286.056	194.932
868	1.73400	320.833	284.579	194.957
869	1.73600	320.747	283.098	194.933
870	1.73800	320.677	281.653	194.956
871	1.74000	320.593	280.151	194.980
872	1.74200	320.530	278.706	195.007
873	1.74400	320.467	277.236	195.028
874	1.74600	320.392	275.758	195.039
875	1.74800	320.330	274.314	195.072
876	1.75000	320.248	272.844	195.073
877	1.75200	320.165	271.397	195.057
878	1.75400	320.089	269.951	195.044
879	1.75600	319.950	268.495	194.996
880	1.75800	319.804	267.034	194.986
881	1.76000	319.708	265.570	194.956
882	1.76200	319.598	264.091	194.933
883	1.76400	319.537	262.646	194.930
884	1.76600	319.454	261.174	194.896
885	1.76800	319.371	259.705	194.891
886	1.77000	319.293	258.245	194.899
887	1.77200	319.225	256.769	194.913
888	1.77400	319.155	255.301	194.914
889	1.77600	319.079	253.842	194.928
890	1.77800	319.002	252.365	194.923
891	1.78000	318.911	250.907	194.941
892	1.78200	318.829	249.456	194.947
893	1.78400	318.738	247.988	194.932
894	1.78600	318.663	246.529	194.931
895	1.78800	318.520	245.057	194.959
896	1.79000	318.380	243.555	194.930
897	1.79200	318.254	242.083	194.940
898	1.79400	318.158	240.616	194.935
899	1.79600	318.081	239.115	194.916
900	1.79800	318.006	237.655	194.901
901	1.80000	317.938	236.200	194.941
902	1.80200	317.862	234.726	194.935
903	1.80400	317.808	233.260	194.941
904	1.80600	317.747	231.794	194.950
905	1.80800	317.666	230.334	194.919
906	1.81000	317.603	228.877	194.918
907	1.81200	317.550	227.419	194.917
908	1.81400	317.462	225.953	194.908
909	1.81600	317.372	224.503	194.893
910	1.81800	317.265	223.031	194.902
911	1.82000	317.158	221.555	194.861
912	1.82200	317.077	220.081	194.849
913	1.82400	316.990	218.620	194.876
914	1.82600	316.921	217.131	194.874
915	1.82800	316.838	215.666	194.853
916	1.83000	316.785	214.202	194.861
917	1.83200	316.723	212.730	194.861
918	1.83400	316.639	211.241	194.842
919	1.83600	316.591	209.779	194.857
920	1.83800	316.530	208.331	194.843
921	1.84000	316.469	206.849	194.814
922	1.84200	316.400	205.393	194.794
923	1.84400	316.339	203.946	194.785
924	1.84600	316.258	202.484	194.783
925	1.84800	316.188	201.000	194.806
926	1.85000	316.141	199.557	194.830
927	1.85200	315.995	198.087	194.820
928	1.85400	315.901	196.608	194.804
929	1.85600	315.821	195.164	194.807
930	1.85800	315.734	193.697	194.833
931	1.86000	315.632	192.205	194.830
932	1.86200	315.551	190.736	194.834
933	1.86400	315.461	189.286	194.836
934	1.86600	315.387	187.816	194.818
935	1.86800	315.289	186.347	194.804
936	1.87000	315.221	184.888	194.802
937	1.87200	315.116	183.417	194.835
938	1.87400	315.047	181.920	194.863
939	1.87600	314.957	180.463	194.868
940	1.87800	314.857	178.999	194.888
941	1.88000	314.687	177.538	194.841
942	1.88200	314.573	176.063	194.828
943	1.88400	314.463	174.614	194.824
944	1.88600	314.375	173.148	194.827
945	1.88800	314.295	171.664	194.811
946	1.89000	314.193	170.220	194.771
947	1.89200	314.119	168.753	194.754
948	1.89400	314.043	167.296	194.751
949	1.89600	313.964	165.843	194.706
950	1.89800	313.903	164.367	194.686
951	1.90000	313.828	162.915	194.715
952	1.90200	313.754	161.450	194.709
953	1.90400	313.621	159.971	194.707
954	1.90600	313.513	158.504	194.677
955	1.90800	313.425	157.034	194.692
956	1.91000	313.322	155.563	194.684
957	1.91200	313.255	154.091	194.678
958	1.91400	313.175	152.629	194.683
959	1.91600	313.086	151.169	194.693
960	1.91800	312.984	149.686	194.655
961	1.92000	312.925	148.207	194.648
962	1.92200	312.873	146.743	194.636
963	1.92400	312.797	145.297	194.621
964	1.92600	312.736	143.828	194.631
965	1.92800	312.653	142.352	194.632
966	1.93000	312.608	140.896	194.613
967	1.93200	312.524	139.434	194.655
968	1.93400	312.414	137.957	194.706
969	1.93600	312.300	136.485	194.669
970	1.93800	312.190	135.012	194.680
971	1.94000	312.109	133.532	194.711
972	1.94200	312.028	132.078	194.747
973	1.94400	311.947	130.602	194.737
974	1.94600	311.874	129.126	194.730
975	1.94800	311.840	127.665	194.719
976	1.95000	311.754	126.219	194.677
977	1.95200	311.694	124.763	194.696
978	1.95400	311.634	123.295	194.681
979	1.95600	311.547	121.834	194.651
980	1.95800	311.481	120.376	194.650
981	1.96000	311.413	118.904	194.657
982	1.96200	311.340	117.433	194.667
983	1.96400	311.287	115.964	194.636
984	1.96600	311.219	114.497	194.677
985	1.96800	311.173	113.044	194.643
986	1.97000	311.101	111.581	194.645
987	1.97200	311.040	110.120	194.604
988	1.97400	310.932	108.638	194.586
989	1.97600	310.837	107.176	194.592
990	1.97800	310.761	105.714	194.532
991	1.98000	310.669	104.244	194.532
992	1.98200	310.609	102.783	194.545
993	1.98400	310.514	101.321	194.535
994	1.98600	310.462	99.848	194.515
995	1.98800	310.369	98.390	194.534
996	1.99000	310.276	96.923	194.546
997	1.99200	310.204	95.467	194.526
998	1.99400	310.089	93.997	194.559
999	1.99600	310.015	92.522	194.567
1000	1.99800	309.922	91.054	194.561
1001	2.00000	309.750	89.576	194.587
1002	2.00200	309.623	88.110	194.582
1003	2.00400	309.536	86.639	194.555
1004	2.00600	309.386	85.149	194.599
1005	2.00800	309.306	83.679	194.620
1006	2.01000	309.220	82.223	194.635
1007	2.01200	309.145	80.758	194.642
1008	2.01400	309.057	79.296	194.608
1009	2.01600	308.977	77.829	194.592
1010	2.01800	308.905	76.377	194.572
1011	2.02000	308.837	74.900	194.596
1012	2.02200	308.711	73.434	194.583
1013	2.02400	308.607	71.984	194.567
1014	2.02600	308.531	70.514	194.579
1015	2.02800	308.440	69.042	194.567
1016	2.03000	308.390	67.603	194.524
1017	2.03200	308.309	66.146	194.508
1018	2.03400	308.248	64.680	194.484
1019	2.03600	308.181	63.218	194.490
1020	2.03800	308.100	61.768	194.463
1021	2.04000	308.014	60.284	194.469
1022	2.04200	307.953	58.831	194.419
1023	2.04400	307.878	57.342	194.448
1024	2.04600	307.814	55.889	194.446
1025	2.04800	307.671	54.414	194.443
1026	2.05000	307.543	52.958	194.462
1027	2.05200	307.483	51.507	194.420
1028	2.05400	307.386	50.048	194.417
1029	2.05600	307.355	48.581	194.432
1030	2.05800	307.222	47.106	194.415
1031	2.06000	307.160	45.658	194.383
1032	2.06200	307.058	44.193	194.379
1033	2.06400	306.960	42.732	194.405
1034	2.06600	306.889	41.285	194.423
1035	2.06800	306.795	39.795	194.512
