NO_OF_FRAMES	775
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:00:59.078	683793.93011830
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Measured
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
970	1.93800	336.197	554.317	195.226
971	1.94000	336.149	553.118	195.230
972	1.94200	336.088	551.935	195.211
973	1.94400	336.026	550.744	195.230
974	1.94600	335.972	549.577	195.213
975	1.94800	335.925	548.394	195.199
976	1.95000	335.871	547.219	195.198
977	1.95200	335.816	546.028	195.198
978	1.95400	335.748	544.852	195.225
979	1.95600	335.694	543.686	195.217
980	1.95800	335.626	542.511	195.223
981	1.96000	335.538	541.329	195.191
982	1.96200	335.471	540.171	195.175
983	1.96400	335.409	538.979	195.184
984	1.96600	335.299	537.797	195.154
985	1.96800	335.196	536.598	195.150
986	1.97000	335.128	535.423	195.163
987	1.97200	335.053	534.232	195.152
988	1.97400	334.992	533.057	195.143
989	1.97600	334.923	531.873	195.148
990	1.97800	334.849	530.698	195.116
991	1.98000	334.788	529.523	195.111
992	1.98200	334.720	528.348	195.107
993	1.98400	334.651	527.147	195.117
994	1.98600	334.583	525.972	195.116
995	1.98800	334.522	524.788	195.130
996	1.99000	334.461	523.604	195.145
997	1.99200	334.379	522.429	195.149
998	1.99400	334.310	521.237	195.180
999	1.99600	334.235	520.045	195.186
1000	1.99800	334.160	518.861	195.181
1001	2.00000	334.070	517.661	195.228
1002	2.00200	334.015	516.477	195.227
1003	2.00400	333.968	515.293	195.227
1004	2.00600	333.914	514.125	195.228
1005	2.00800	333.860	512.941	195.230
1006	2.01000	333.792	511.765	195.220
1007	2.01200	333.737	510.580	195.225
1008	2.01400	333.690	509.396	195.206
1009	2.01600	333.629	508.228	195.214
1010	2.01800	333.506	507.028	195.194
1011	2.02000	333.451	505.844	195.204
1012	2.02200	333.390	504.659	195.190
1013	2.02400	333.323	503.483	195.190
1014	2.02600	333.261	502.291	195.192
1015	2.02800	333.193	501.106	195.182
1016	2.03000	333.139	499.922	195.174
1017	2.03200	333.078	498.737	195.193
1018	2.03400	333.016	497.544	195.200
1019	2.03600	332.955	496.360	195.197
1020	2.03800	332.887	495.175	195.195
1021	2.04000	332.833	493.991	195.194
1022	2.04200	332.765	492.815	195.182
1023	2.04400	332.718	491.630	195.184
1024	2.04600	332.644	490.462	195.163
1025	2.04800	332.590	489.286	195.156
1026	2.05000	332.515	488.118	195.137
1027	2.05200	332.434	486.942	195.106
1028	2.05400	332.373	485.766	195.103
1029	2.05600	332.291	484.590	195.102
1030	2.05800	332.230	483.414	195.126
1031	2.06000	332.176	482.245	195.115
1032	2.06200	332.128	481.052	195.119
1033	2.06400	332.060	479.868	195.135
1034	2.06600	331.923	478.668	195.125
1035	2.06800	331.827	477.476	195.131
1036	2.07000	331.731	476.292	195.125
1037	2.07200	331.664	475.115	195.108
1038	2.07400	331.583	473.939	195.118
1039	2.07600	331.500	472.755	195.118
1040	2.07800	331.397	471.555	195.119
1041	2.08000	331.308	470.363	195.135
1042	2.08200	331.226	469.171	195.125
1043	2.08400	331.179	468.002	195.130
1044	2.08600	331.126	466.834	195.136
