NO_OF_FRAMES	921
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-20, 19:07:19.004	867773.02854140
DATA_INCLUDED	3D
MARKER_NAMES	Puck1 - 1	Puck1 - 2	Puck1 - 3	Pucky - 1	Pucky - 2	Pucky - 3
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	Puck1 - 1 X	Puck1 - 1 Y	Puck1 - 1 Z	Puck1 - 2 X	Puck1 - 2 Y	Puck1 - 2 Z	Puck1 - 3 X	Puck1 - 3 Y	Puck1 - 3 Z	Pucky - 1 X	Pucky - 1 Y	Pucky - 1 Z	Pucky - 2 X	Pucky - 2 Y	Pucky - 2 Z	Pucky - 3 X	Pucky - 3 Y	Pucky - 3 Z	
2867	5.73200	281.117	342.018	165.616	260.798	340.430	165.982	277.769	362.179	165.897	457.391	359.805	164.770	440.758	373.205	165.218	441.867	346.167	165.273	
2868	5.73400	281.116	341.912	165.605	260.892	339.941	166.046	277.355	362.009	165.901	457.018	359.725	164.795	440.360	373.092	165.310	441.536	346.078	165.283	
2869	5.73600	281.124	341.832	165.604	260.958	339.411	166.024	276.906	361.847	165.859	456.651	359.680	164.778	439.969	373.027	165.267	441.183	346.004	165.261	
2870	5.73800	281.140	341.748	165.653	261.082	338.938	166.055	276.480	361.720	165.810	456.318	359.636	164.797	439.599	372.948	165.288	440.814	345.941	165.251	
2871	5.74000	281.148	341.671	165.685	261.172	338.380	166.022	276.128	361.543	165.833	455.915	359.556	164.821	439.179	372.834	165.348	440.531	345.836	165.264	
2872	5.74200	281.170	341.592	165.685	261.285	337.931	166.002	275.768	361.355	165.841	455.574	359.513	164.869	438.804	372.769	165.305	440.160	345.779	165.239	
2873	5.74400	281.185	341.523	165.699	261.400	337.375	166.000	275.321	361.131	165.823	455.221	359.433	164.861	438.389	372.696	165.278	439.778	345.716	165.227	
2874	5.74600	281.193	341.461	165.695	261.536	336.936	165.995	274.915	360.902	165.855	454.819	359.396	164.861	438.042	372.591	165.319	439.462	345.643	165.205	
2875	5.74800	281.215	341.389	165.677	261.665	336.371	165.982	274.536	360.697	165.837	454.472	359.334	164.881	437.660	372.526	165.274	439.143	345.557	165.243	
2876	5.75000	281.231	341.327	165.674	261.820	335.925	166.026	274.153	360.485	165.866	454.126	359.281	164.884	437.243	372.462	165.263	438.770	345.491	165.204	
2877	5.75200	281.246	341.228	165.644	261.978	335.398	165.925	273.807	360.258	165.817	453.747	359.227	164.888	436.884	372.372	165.238	438.399	345.424	165.133	
2878	5.75400	281.254	341.146	165.611	262.133	334.937	166.005	273.374	359.989	165.760	453.379	359.181	164.873	436.515	372.301	165.242	438.077	345.347	165.186	
2879	5.75600	281.268	341.057	165.597	262.284	334.431	165.933	273.035	359.743	165.798	453.041	359.127	164.875	436.100	372.218	165.202	437.756	345.242	165.200	
2880	5.75800	281.292	340.977	165.597	262.510	333.983	165.977	272.652	359.471	165.853	452.656	359.064	164.864	435.737	372.139	165.224	437.421	345.161	165.193	
2881	5.76000	281.300	340.890	165.613	262.709	333.446	165.977	272.265	359.219	165.795	452.285	359.027	164.866	435.379	372.058	165.212	437.052	345.088	165.169	
2882	5.76200	281.315	340.804	165.631	262.892	333.009	166.006	271.911	358.933	165.774	451.927	358.962	164.821	434.950	371.969	165.254	436.739	344.992	165.197	
2883	5.76400	281.346	340.734	165.645	263.097	332.530	165.947	271.541	358.658	165.767	451.589	358.909	164.824	434.585	371.896	165.194	436.439	344.888	165.242	
2884	5.76600	281.353	340.662	165.627	263.367	332.089	165.944	271.203	358.360	165.814	451.196	358.863	164.810	434.196	371.774	165.271	436.040	344.807	165.235	
