NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:21:13
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z

Frame	Time	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z	
3241	6.48000	-144.880	-172.165	1.391
3242	6.48200	-145.319	-172.141	1.018
3243	6.48400	-145.645	-172.680	1.138
3244	6.48600	-145.475	-172.783	1.269
3245	6.48800	-145.675	-172.733	0.695
3246	6.49000	-145.808	-172.850	0.445
3247	6.49200	-145.576	-172.992	0.743
3248	6.49400	-145.606	-173.260	0.569
3249	6.49600	-145.824	-173.324	0.537
3250	6.49800	-145.916	-173.337	0.580
3251	6.50000	-145.787	-173.363	0.364
3252	6.50200	-145.791	-173.517	0.516
3253	6.50400	-145.942	-173.877	0.296
3254	6.50600	-146.430	-173.809	-0.047
3255	6.50800	-146.589	-173.709	-0.117
3256	6.51000	-145.932	-174.219	0.139
3257	6.51200	-146.059	-174.197	0.510
3258	6.51400	-147.213	-173.873	0.029
3259	6.51600	-147.063	-174.029	0.274
3260	6.51800	-145.915	-174.152	0.454
3261	6.52000	-146.432	-174.316	0.173
3262	6.52200	-147.146	-174.327	0.615
3263	6.52400	-146.631	-174.474	0.387
3264	6.52600	-146.124	-174.732	-0.312
3265	6.52800	-146.316	-174.408	0.228
3266	6.53000	-146.716	-174.571	1.320
3267	6.53200	-146.615	-174.811	0.227
3268	6.53400	-146.722	-174.545	-0.259
3269	6.53600	-146.403	-174.564	1.351
3270	6.53800	-146.833	-175.119	0.719
3271	6.54000	-147.176	-174.897	-0.340
3272	6.54200	-146.545	-174.315	1.214
3273	6.54400	-146.910	-175.224	1.088
3274	6.54600	-146.257	-175.040	-0.072
3275	6.54800	-146.089	-174.415	0.187
3276	6.55000	-147.401	-175.447	0.211
3277	6.55200	-146.619	-175.406	0.313
3278	6.55400	-145.635	-175.041	-0.364
3279	6.55600	-146.686	-175.616	-0.280
3280	6.55800	-147.231	-175.902	0.561
3281	6.56000	-146.631	-175.978	0.191
3282	6.56200	-146.396	-175.856	0.260
3283	6.56400	-146.905	-176.052	0.872
3284	6.56600	-147.137	-176.545	0.790
3285	6.56800	-147.104	-176.572	0.344
3286	6.57000	-146.974	-176.414	0.229
3287	6.57200	-146.723	-176.546	-0.157
3288	6.57400	-147.195	-176.589	-0.453
3289	6.57600	-147.280	-176.361	-0.373
3290	6.57800	-146.943	-176.658	-0.928
3291	6.58000	-146.910	-176.790	-0.996
3292	6.58200	-147.106	-176.828	-0.747
3293	6.58400	-147.125	-177.131	-0.945
3294	6.58600	-146.493	-176.950	-0.667
3295	6.58800	-146.368	-177.134	-0.949
3296	6.59000	-146.513	-177.167	-1.451
3297	6.59200	-146.566	-177.249	-1.000
3298	6.59400	-146.527	-177.767	-0.729
3299	6.59600	-146.161	-177.650	-1.003
3300	6.59800	-146.165	-177.440	-1.751
3301	6.60000	-146.508	-177.862	-1.282
3302	6.60200	-146.478	-177.988	-0.395
3303	6.60400	-146.300	-177.789	-1.524
3304	6.60600	-146.348	-177.947	-1.662
3305	6.60800	-146.286	-178.208	-0.282
3306	6.61000	-146.232	-178.302	-0.172
3307	6.61200	-146.310	-178.181	-1.038
3308	6.61400	-146.026	-178.273	-0.753
3309	6.61600	-145.649	-178.382	0.085
3310	6.61800	-145.688	-178.172	-0.704
3311	6.62000	-145.869	-178.238	-0.741
3312	6.62200	-145.627	-178.431	-0.142
3313	6.62400	-145.492	-178.338	-0.514
3314	6.62600	-145.607	-178.034	-0.263
