NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:22:16
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z

Frame	Time	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z	
3057	6.11200	-178.198	-28.141	1.583
3058	6.11400	-177.844	-28.090	1.029
3059	6.11600	-178.111	-27.830	0.526
3060	6.11800	-178.126	-27.678	-0.022
3061	6.12000	-177.866	-27.449	-0.394
3062	6.12200	-178.139	-27.241	-0.681
3063	6.12400	-177.738	-27.019	-1.318
3064	6.12600	-177.717	-26.923	-1.396
3065	6.12800	-178.130	-27.037	-1.446
3066	6.13000	-177.534	-27.018	-1.766
3067	6.13200	-177.704	-27.257	-1.292
3068	6.13400	-177.839	-27.641	-1.024
3069	6.13600	-177.544	-27.694	-0.936
3070	6.13800	-177.992	-27.943	-0.390
3071	6.14000	-177.855	-28.261	0.108
3072	6.14200	-177.467	-28.294	0.288
3073	6.14400	-177.724	-28.389	0.635
3074	6.14600	-177.554	-28.502	1.058
3075	6.14800	-177.277	-28.492	0.934
3076	6.15000	-177.566	-28.445	1.000
3077	6.15200	-177.496	-28.448	1.437
3078	6.15400	-177.108	-28.340	1.314
3079	6.15600	-177.144	-28.004	0.982
3080	6.15800	-177.171	-27.779	0.918
3081	6.16000	-176.872	-27.595	0.597
3082	6.16200	-177.092	-27.394	0.024
3083	6.16400	-177.187	-27.118	-0.394
3084	6.16600	-176.774	-26.680	-0.662
3085	6.16800	-177.238	-26.465	-0.657
3086	6.17000	-177.167	-26.447	-1.034
3087	6.17200	-176.616	-26.389	-1.013
3088	6.17400	-177.192	-26.411	-0.586
3089	6.17600	-176.730	-26.544	-0.825
3090	6.17800	-176.346	-26.792	-0.290
3091	6.18000	-177.290	-27.043	0.552
3092	6.18200	-177.357	-27.180	0.599
3093	6.18400	-177.015	-27.364	0.778
3094	6.18600	-177.042	-27.629	1.387
3095	6.18800	-176.921	-27.718	1.569
3096	6.19000	-176.835	-27.532	1.619
3097	6.19200	-176.804	-27.611	1.966
3098	6.19400	-176.752	-27.780	1.972
3099	6.19600	-176.899	-27.624	1.465
3100	6.19800	-176.936	-27.621	1.294
3101	6.20000	-176.813	-27.678	1.295
