NO_OF_FRAMES	1453
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:41:31.017	927424.75938200
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_origo	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Mixed
Frame	Time	v43_3g_origo X	v43_3g_origo Y	v43_3g_origo Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
3482	6.96200	270.193	429.923	162.995	315.276	464.672	163.807	231.272	469.270	163.318	486.989	587.665	163.362	496.903	642.580	164.223	432.489	596.586	163.614
3483	6.96400	270.179	430.056	162.996	314.589	465.685	163.836	230.507	468.647	163.311	486.476	587.192	163.408	496.368	642.121	164.255	431.889	596.099	163.590
3484	6.96600	270.133	430.206	162.996	313.839	466.690	163.821	229.765	468.095	163.300	485.945	586.723	163.390	495.819	641.642	164.197	431.386	595.629	163.629
3485	6.96800	270.110	430.356	162.996	313.168	467.633	163.918	229.017	467.456	163.327	485.421	586.244	163.387	495.277	641.174	164.214	430.871	595.116	163.588
3486	6.97000	270.096	430.533	163.009	312.421	468.612	164.016	228.281	466.853	163.291	484.924	585.806	163.437	494.739	640.721	164.206	430.300	594.645	163.629
3487	6.97200	270.096	430.726	162.990	311.655	469.572	163.991	227.579	466.214	163.319	484.378	585.294	163.399	494.177	640.235	164.191	429.837	594.141	163.605
3488	6.97400	270.097	430.902	162.972	310.897	470.514	163.967	226.890	465.564	163.301	483.884	584.851	163.399	493.673	639.780	164.245	429.230	593.662	163.600
3489	6.97600	270.081	431.061	162.955	310.055	471.456	163.944	226.202	464.908	163.300	483.350	584.370	163.429	493.082	639.285	164.215	428.795	593.175	163.637
3490	6.97800	270.050	431.202	162.941	309.339	472.310	164.079	225.561	464.200	163.337	482.819	583.893	163.395	492.602	638.834	164.236	428.182	592.670	163.586
3491	6.98000	270.020	431.337	162.976	308.505	473.235	164.059	224.901	463.551	163.290	482.322	583.455	163.446	492.015	638.362	164.257	427.724	592.210	163.639
3492	6.98200	269.999	431.480	163.024	307.702	474.116	164.119	224.277	462.824	163.327	481.754	582.952	163.393	491.502	637.895	164.215	427.172	591.704	163.590
3493	6.98400	269.970	431.639	163.039	306.830	474.996	164.148	223.655	462.141	163.286	481.260	582.498	163.412	490.938	637.442	164.237	426.647	591.227	163.580
3494	6.98600	269.969	431.806	163.006	305.973	475.833	164.165	223.060	461.422	163.308	480.727	582.020	163.410	490.401	636.980	164.214	426.147	590.738	163.594
3495	6.98800	269.970	431.991	163.003	305.116	476.633	164.184	222.471	460.669	163.304	480.189	581.558	163.380	489.861	636.512	164.203	425.570	590.235	163.539
3496	6.99000	269.962	432.158	162.971	304.259	477.469	164.201	221.919	459.950	163.266	479.699	581.096	163.443	489.319	636.039	164.257	425.097	589.764	163.613
3497	6.99200	269.946	432.309	162.973	303.341	478.279	164.237	221.373	459.171	163.343	479.161	580.609	163.396	488.806	635.565	164.198	424.507	589.268	163.547
3498	6.99400	269.907	432.451	162.959	302.485	479.061	164.288	220.844	458.400	163.311	478.642	580.146	163.429	488.248	635.092	164.252	424.056	588.780	163.617
