NO_OF_FRAMES	1139
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:34:17.490	955791.10098720
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 27.7 g vs 34.3 g
MARKER_NAMES	h34_3g	hx	hy	v27_7g	vy	vx
COLLISION_TIME	0.76
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h34_3g X	h34_3g Y	h34_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v27_7g X	v27_7g Y	v27_7g Z	vy X	vy Y	vy Z	vx X	vx Y	vx Z	
5480	10.95800	444.266	530.901	169.543	452.468	543.513	169.376	430.998	540.231	169.922	399.486	401.979	164.760	389.274	383.494	165.106	382.728	413.365	165.014
5481	10.96000	444.022	530.759	169.508	451.918	543.581	169.338	430.535	539.726	169.958	399.334	402.188	164.699	388.820	383.835	165.095	382.790	413.826	165.054
5482	10.96200	443.807	530.608	169.490	451.381	543.631	169.331	430.105	539.267	169.915	399.189	402.374	164.719	388.377	384.177	165.082	382.846	414.284	165.031
5483	10.96400	443.578	530.466	169.457	450.807	543.654	169.308	429.660	538.754	169.905	399.052	402.542	164.740	387.956	384.588	165.029	382.909	414.762	165.038
5484	10.96600	443.340	530.306	169.453	450.277	543.679	169.314	429.222	538.286	169.879	398.913	402.727	164.761	387.510	384.932	165.050	382.940	415.195	165.067
5485	10.96800	443.140	530.155	169.465	449.710	543.702	169.291	428.829	537.773	169.901	398.776	402.902	164.736	387.082	385.302	165.080	383.042	415.663	165.061
5486	10.97000	442.893	529.987	169.476	449.165	543.709	169.297	428.391	537.287	169.876	398.600	403.085	164.694	386.590	385.704	165.045	383.137	416.104	165.040
5487	10.97200	442.646	529.827	169.505	448.613	543.707	169.288	428.019	536.791	169.930	398.446	403.297	164.695	386.186	386.098	164.994	383.176	416.563	165.021
5488	10.97400	442.424	529.685	169.470	448.027	543.694	169.326	427.596	536.261	169.921	398.333	403.474	164.730	385.795	386.461	165.074	383.271	417.003	164.971
5489	10.97600	442.224	529.535	169.483	447.460	543.675	169.316	427.226	535.749	169.943	398.195	403.668	164.735	385.326	386.882	165.037	383.356	417.420	165.032
5490	10.97800	442.002	529.375	169.448	446.876	543.645	169.322	426.843	535.227	169.891	398.018	403.869	164.691	384.906	387.302	164.999	383.459	417.879	165.012
